size,threads,runtime,runtimesd,energy,energysd
10000,1,0.23226514,0.00097227,3.79132748,0.04158759
10000,8,0.05879791,0.00023539,1.82162166,0.02005582
10000,12,0.03930199,0.00018014,1.62745941,0.02979048
10000,14,0.03371219,0.00121868,1.56354368,0.05282048
10000,16,0.02945518,0.00030172,1.52021468,0.02889620
25000,1,1.61642373,0.02215290,26.70325661,0.80710703
25000,8,0.39506727,0.01666559,12.72321033,0.45797849
25000,12,0.26197165,0.01040349,11.13369274,0.36637422
25000,14,0.22673023,0.01055195,10.84339237,0.39328119
25000,16,0.21636011,0.01618784,11.33909225,0.63836652
40000,1,4.31094265,0.13942221,71.67804718,2.76330495
40000,8,1.06931543,0.05790485,33.99652481,1.56008983
40000,12,0.74250448,0.05326438,31.17675018,1.85408700
40000,14,0.66857886,0.06681523,31.41747093,2.86682773
40000,16,0.68012339,0.07595715,34.30947495,2.96142793
10000,mt,0.03152838,0.00714238,1.57784569,0.16862917
25000,mt,0.21941473,0.03736768,11.13236618,0.58969897
40000,mt,0.75724328,0.09956494,32.31943893,2.45138240
10000,rt,0.03337749,0.00795149,1.58480096,0.08630219
25000,rt,0.23396491,0.04986105,11.11905670,0.63317633
40000,rt,0.68623894,0.12619457,31.92969704,2.50873637
