size,threads,runtime,energy
10000,16,0.0988441,4.388783
10000,16,0.077997126,3.405204
10000,16,0.07797945,3.408133
10000,16,0.07801614,3.45275
10000,16,0.077912726,3.363273
10000,16,0.078043595,3.413444
10000,16,0.07853201,3.404654
10000,16,0.078096665,3.409232
10000,16,0.077962264,3.451102
10000,16,0.07810261,3.415946
10000,8,0.15499423,4.502613
10000,8,0.15512973,4.506946
10000,8,0.1549915,4.48235
10000,8,0.1551139,4.49419
10000,8,0.15496206,4.46526
10000,8,0.15515153,4.521716
10000,8,0.15493202,4.469044
10000,8,0.15512678,4.487782
10000,8,0.15494028,4.466053
10000,8,0.15511604,4.490345
10000,12.8,0.09563918,3.786306
10000,12.8,0.0957447,3.807058
10000,12.8,0.09562743,3.754141
10000,12.8,0.095776714,3.807851
10000,12.8,0.09559124,3.787649
10000,12.8,0.09571133,3.812674
10000,12.8,0.095623545,3.779226
10000,12.8,0.095788546,3.7907
10000,12.8,0.095603906,3.806448
10000,12.8,0.09578549,3.810781
10000,15.68,0.07797968,3.405814
10000,15.68,0.078052595,3.411308
10000,15.68,0.07799377,3.415518
10000,15.68,0.078606166,3.455558
10000,15.68,0.07798661,3.409049
10000,15.68,0.07803248,3.419547
10000,15.68,0.07809662,3.405692
10000,15.68,0.07802387,3.409415
10000,15.68,0.07794097,3.374259
10000,15.68,0.078025535,3.454092
10000,16,0.07794814,3.413383
10000,16,0.078020126,3.429495
10000,16,0.07784975,3.415458
10000,16,0.07799128,3.410636
10000,16,0.07801332,3.418448
10000,16,0.078131855,3.412589
10000,16,0.07791661,3.420706
10000,16,0.07821036,3.419364
10000,16,0.077966265,3.443656
10000,16,0.07802158,3.419669
10000,14.9632,0.08323601,3.584891
10000,14.9632,0.0831031,3.600332
10000,14.9632,0.08602843,3.703482
10000,14.9632,0.083326586,3.622794
10000,14.9632,0.08320174,3.594168
10000,14.9632,0.083252124,3.587698
10000,14.9632,0.08304425,3.581351
10000,14.9632,0.08303734,3.632315
10000,14.9632,0.08302201,3.584402
10000,14.9632,0.08306139,3.590689
10000,15.585279,0.07827549,3.428214
10000,15.585279,0.07824185,3.409476
10000,15.585279,0.07787221,3.406852
10000,15.585279,0.07792417,3.41741
10000,15.585279,0.07803403,3.427543
10000,15.585279,0.07828298,3.437247
10000,15.585279,0.078179814,3.40911
10000,15.585279,0.07803242,3.438956
10000,15.585279,0.07784716,3.41796
10000,15.585279,0.07809584,3.412833
10000,16,0.07847285,3.463004
10000,16,0.07799901,3.423026
10000,16,0.07795833,3.408011
10000,16,0.07816533,3.431876
10000,16,0.07787841,3.413687
10000,16,0.07828593,3.460929
10000,16,0.07831204,3.417777
10000,16,0.07802163,3.413199
10000,16,0.07797576,3.411735
10000,16,0.07796947,3.412222
10000,16,0.0778733,3.42382
10000,16,0.07810199,3.425529
10000,16,0.07794314,3.40972
10000,16,0.0779539,3.428519
10000,16,0.07789716,3.413688
10000,16,0.07805717,3.428885
10000,16,0.07792544,3.413138
10000,16,0.07804973,3.413199
10000,16,0.07789584,3.412772
10000,16,0.078078225,3.434501
10000,15.719078,0.07803322,3.415824
10000,15.719078,0.07809354,3.418509
10000,15.719078,0.07791229,3.413565
10000,15.719078,0.07803276,3.458854
10000,15.719078,0.07793747,3.418387
10000,15.719078,0.07806096,3.425712
10000,15.719078,0.07791935,3.413748
10000,15.719078,0.07803139,3.417655
10000,15.719078,0.07794479,3.420218
10000,15.719078,0.078135885,3.419974
10000,15.470677,0.08302958,3.589103
10000,15.470677,0.083138034,3.628713
10000,15.470677,0.0830312,3.589164
10000,15.470677,0.08314725,3.586782
10000,15.470677,0.08320925,3.602591
10000,15.470677,0.083034225,3.586417
10000,15.470677,0.08294798,3.58721
10000,15.470677,0.08303077,3.597708
10000,15.470677,0.083506666,3.644705
10000,15.470677,0.08304867,3.587576
10000,15.696825,0.078485474,3.466483
10000,15.696825,0.07800497,3.411857
10000,15.696825,0.07821308,3.419852
10000,15.696825,0.07790704,3.4168
10000,15.696825,0.07789397,3.408744
10000,15.696825,0.078070745,3.428946
10000,15.696825,0.07793377,3.419059
10000,15.696825,0.07802737,3.412039
10000,15.696825,0.07940638,3.498404
10000,15.696825,0.07906081,3.457694
10000,15.906971,0.07785138,3.414115
10000,15.906971,0.07823694,3.41381
10000,15.906971,0.07784888,3.424612
10000,15.906971,0.07797694,3.459159
10000,15.906971,0.07797532,3.415152
10000,15.906971,0.07803059,3.422721
10000,15.906971,0.07793288,3.417777
10000,15.906971,0.078096926,3.426871
10000,15.906971,0.07831294,3.424247
10000,15.906971,0.07802761,3.418448
10000,15.708748,0.07828218,3.469962
10000,15.708748,0.078072906,3.410636
10000,15.708748,0.07795273,3.415274
10000,15.708748,0.0779909,3.417838
10000,15.708748,0.07824062,3.429557
10000,15.708748,0.07804581,3.410269
10000,15.708748,0.07794077,3.414481
10000,15.708748,0.07804902,3.430534
10000,15.708748,0.07824524,3.422171
10000,15.708748,0.07801023,3.423148
