size,threads,runtime,runtimesd,energy,energysd
500,1,0.06731708,0.00122702,1.03762269,0.02873820
500,8,0.00978384,0.00002458,0.41077504,0.01629559
500,12,0.01101443,0.00060083,0.45612335,0.02630321
500,16,0.01298094,0.00064313,0.52356642,0.02562168
1000,1,0.81450546,0.00177712,12.76987839,0.33470005
1000,8,0.10868628,0.00484698,4.72383833,0.17819816
1000,12,0.39878461,0.01440053,15.37803364,0.48594272
1000,16,0.30613431,0.01461351,12.15250683,0.53973120
1500,1,3.09947729,0.01943908,49.28112411,1.28416359
1500,8,0.37986177,0.01179454,16.97053528,0.50410146
1500,12,2.90765572,0.02521307,111.09628296,0.97257668
1500,16,2.21928215,0.03985721,85.91223145,1.71753240
500,mt,0.01057420,0.00171782,0.44631064,0.06148383
1000,mt,0.29597932,0.20331791,7.56450653,2.96867561
1500,mt,1.14284635,1.12323761,34.57684708,32.86608505
500,rt,0.01207998,0.00257110,0.47771740,0.07164684
1000,rt,0.19519967,0.08437782,6.83941221,3.14631414
1500,rt,0.99315071,0.93868005,35.46019363,35.86684418
