threads,size,runtime,runtimesd,energy,energysd
1,500,0.43420616,0.0002478417,6.8442335,0.2710975
8,500,0.05573517,0.0013238004,2.218819,0.036657028
12,500,0.050820824,0.00022849564,2.1226537,0.023081565
16,500,0.047019005,0.000106492196,2.0537114,0.017185377
mt,500,0.047527853,0.0018250834,2.0756333,0.037545502
rt,500,0.048816767,0.0023152437,2.1175635,0.053379107
1,1000,3.526607,0.019510861,55.82043,1.9343548
8,1000,0.44833258,0.010886686,19.148458,0.75273937
12,1000,0.43055585,0.004458365,18.812422,0.3345588
16,1000,0.41359946,0.0048734155,18.6731,0.2826124
mt,1000,0.41433385,0.007995691,18.821913,0.26485935
rt,1000,0.41690183,0.011231019,19.032255,0.45404688
1,1500,13.602819,0.11346276,215.75804,5.4227667
8,1500,1.6113328,0.013272746,69.41989,1.5469557
12,1500,1.8995546,0.057448894,80.1641,2.3566232
16,1500,2.3580666,0.017031815,96.67678,0.3989348
mt,1500,1.895843,0.7057402,76.66954,11.047484
rt,1500,1.9370984,0.51470053,76.04351,8.545226
