size,threads,runtime,runtimesd,energy,energysd
10000,1,0.56977189,0.01370492,9.13055801,0.71026224
10000,8,0.15514283,0.00238463,4.26610374,0.11594274
10000,12,0.10367582,0.00166091,3.63081694,0.06594003
10000,14,0.08906199,0.00164322,3.44662404,0.07358710
10000,16,0.07897533,0.00569137,3.36003947,0.21144801
25000,1,3.76521325,0.08651446,59.52978516,2.27610755
25000,8,1.02990890,0.01485147,28.34230232,0.63285935
25000,12,0.68778968,0.01041469,24.57464790,0.52770215
25000,14,0.59202361,0.01312759,23.44541740,0.81219578
25000,16,0.62262464,0.06163440,26.83562088,2.43856001
40000,1,9.11287212,0.22012071,143.97976685,4.53380108
40000,8,2.48196793,0.03894392,70.36366272,1.49470353
40000,12,1.66877770,0.03654763,61.55817413,2.40441561
40000,14,1.77428913,0.01991190,70.51162720,1.50185776
40000,16,1.94395947,0.10973208,80.22968292,4.64435148
10000,mt,0.08227564,0.01536797,3.54879022,0.23010193
25000,mt,0.61964411,0.08572259,24.55242157,1.44837832
40000,mt,2.32129288,1.26739860,71.75304413,17.67151070
10000,rt,0.08940089,0.02098506,3.61772966,0.30718803
25000,rt,0.63936275,0.11856537,25.47452164,1.60306263
40000,rt,1.79859018,0.21998252,66.76163483,5.64003038
