size,threads,runtime,runtimesd,energy,energysd
500,1,0.06723017,0.00013487,1.10460436,0.03349267
500,2,0.03506013,0.00004774,0.74056923,0.06415851
500,3,0.02387242,0.00002933,0.58711034,0.00815052
500,4,0.01933801,0.00007126,0.55025637,0.01935363
500,5,0.01545040,0.00005422,0.49861702,0.01564752
500,6,0.01304299,0.00009764,0.47288609,0.01383123
500,7,0.01119376,0.00007609,0.44828668,0.01602141
500,8,0.00990870,0.00052794,0.43561995,0.02879526
500,9,0.01432347,0.00037138,0.59748411,0.02293511
500,10,0.02034730,0.00056924,0.82951140,0.02950475
500,11,0.01833167,0.00079139,0.75501007,0.03411984
500,12,0.01114948,0.00081309,0.48225230,0.03254146
500,13,0.01019421,0.00043897,0.44785169,0.02231502
500,14,0.00947580,0.00073330,0.42134702,0.03504406
500,15,0.01354038,0.00056469,0.57508200,0.02690814
500,16,0.01307994,0.00188796,0.55809408,0.07222298
1000,1,0.81767255,0.00132346,13.01997948,0.32224485
1000,2,0.43012780,0.00108718,8.55625153,0.26305711
1000,3,0.28181890,0.00197266,6.74445009,0.15209925
1000,4,0.21267763,0.00200784,5.97006464,0.10188967
1000,5,0.17274073,0.00355708,5.61758804,0.11212304
1000,6,0.14331958,0.00123240,5.25693893,0.05081159
1000,7,0.12342796,0.00196790,5.02888584,0.16441938
1000,8,0.10980480,0.00327067,4.91112614,0.12409011
1000,9,0.46522069,0.03974946,18.15439034,1.52923143
1000,10,0.47089329,0.04468959,18.35045624,1.65054572
1000,11,0.37629887,0.02087999,14.98352432,0.81093764
1000,12,0.40516517,0.02112630,16.02985191,0.82134014
1000,13,0.36563084,0.02351434,14.58015537,0.85722727
1000,14,0.34901834,0.02389613,13.97434044,0.89948350
1000,15,0.30937737,0.02962718,12.55789089,1.10423684
1000,16,0.31079796,0.02913547,12.56484985,1.06691098
1500,1,3.14940572,0.04514192,50.29895020,2.35397220
1500,2,1.71321273,0.01670889,34.41449356,0.97626412
1500,3,1.09211385,0.00809540,26.37402344,0.62317032
1500,4,0.81375861,0.00737361,23.04792213,0.66662657
1500,5,0.63155043,0.00617147,20.74358368,0.38618210
1500,6,0.51379055,0.02279051,19.20766068,1.32962930
1500,7,0.43832058,0.01847022,18.19326973,1.07558310
1500,8,0.37553459,0.01011326,17.25530052,0.39008871
1500,9,3.81799555,0.05178744,144.72929382,2.07442713
1500,10,3.45572233,0.03402705,130.14567566,1.38747394
1500,11,3.19766402,0.02323875,121.04654694,1.01563704
1500,12,2.92853093,0.02168844,112.28842163,0.87963456
1500,13,2.71008348,0.02047419,103.76111603,0.83924484
1500,14,2.51327181,0.01953653,96.87577820,0.86363214
1500,15,2.35337663,0.01653280,90.50155640,0.62964016
1500,16,2.22248864,0.02473051,85.05223083,0.81917679
