size,threads,runtime,runtimesd,energy,energysd
10000,1,0.57020372,0.01463670,9.08478737,0.41641960
10000,2,0.61850017,0.00891625,9.89568710,0.44031379
10000,3,0.41247156,0.00602758,7.94658947,0.20183644
10000,4,0.30959859,0.00456707,6.13520002,0.22443330
10000,5,0.24773517,0.00369221,5.81713438,0.14299504
10000,6,0.20669743,0.00308154,4.94242477,0.08645807
10000,7,0.17724593,0.00270845,4.82705212,0.09092194
10000,8,0.15514475,0.00239616,4.32854319,0.12334738
10000,9,0.13801044,0.00215431,4.32742405,0.12999897
10000,10,0.12422048,0.00197256,3.95629549,0.09258646
10000,11,0.11304092,0.00178825,3.98194480,0.06817961
10000,12,0.10367548,0.00166521,3.71166253,0.07981799
10000,13,0.09593518,0.00366924,3.73738956,0.13836449
10000,14,0.08985967,0.00355148,3.57257891,0.14852709
10000,15,0.08347514,0.00478181,3.57589626,0.18157864
10000,16,0.07858352,0.00541206,3.42392683,0.20418933
25000,1,3.76618290,0.08637530,59.46463013,1.78875780
25000,2,4.10580540,0.05347314,65.25914764,2.06098533
25000,3,2.73875618,0.03673424,51.87718201,1.30323541
25000,4,2.05540681,0.02806707,39.87253571,1.31391788
25000,5,1.64495730,0.02224714,38.24406433,0.74206305
25000,6,1.37242186,0.01915855,32.61638260,0.87631381
25000,7,1.17640817,0.01661039,32.05971909,0.65786022
25000,8,1.02987587,0.01465373,28.57853127,0.64297187
25000,9,0.91544700,0.01337248,28.68554497,0.81153703
25000,10,0.82444191,0.01224325,26.14236641,0.46603519
25000,11,0.74951214,0.01121640,26.43056107,0.56298518
25000,12,0.68782181,0.01048599,24.57770348,0.55174500
25000,13,0.63496321,0.00978545,24.74910545,0.45626831
25000,14,0.59074712,0.00967848,23.49562263,0.57900482
25000,15,0.58877635,0.02116585,25.68626213,1.04856765
25000,16,0.62128335,0.05616166,26.89122200,2.22745824
40000,1,9.11261654,0.22031748,143.82373047,4.13119459
40000,2,9.89400959,0.14380980,157.19876099,3.28887796
40000,3,6.59990883,0.09802672,127.03099060,2.48123622
40000,4,4.95450926,0.07344578,97.85234833,2.06730866
40000,5,3.96449661,0.05915471,93.58081055,1.79056072
40000,6,3.30719829,0.05015001,80.05605316,2.05808091
40000,7,2.83441591,0.04377759,78.66816711,1.59674537
40000,8,2.48188448,0.03851558,70.23915100,1.49180889
40000,9,2.20624161,0.03492483,70.08955383,1.37801671
40000,10,1.98729110,0.03191902,64.34922028,1.48569274
40000,11,1.80700111,0.02959373,64.98640442,1.29641080
40000,12,1.66900671,0.03626980,61.45740891,2.50865865
40000,13,1.66304755,0.01968617,65.55963898,1.27822590
40000,14,1.77550042,0.02707139,70.01449585,1.91763127
40000,15,1.79369462,0.02611306,75.08670044,1.41185951
40000,16,1.94058073,0.09487036,79.21426392,3.93629289
