size,threads,runtime,energy
500,1,0.0712636,1.19079
500,1,0.0701053,1.17425
500,1,0.0700941,1.1745
500,1,0.0701038,1.17059
500,1,0.0700911,1.17114
500,1,0.0701209,1.16888
500,1,0.0701381,1.19177
500,1,0.0701013,1.16619
500,1,0.0700951,1.16772
500,1,0.0701011,1.17291
500,1,0.0700941,1.20037
500,1,0.070102,1.18188
500,1,0.0701096,1.19317
500,1,0.0701047,1.17328
500,1,0.0700897,1.18377
500,1,0.070094,1.17035
500,1,0.0701084,1.16668
500,1,0.0701182,1.18023
500,1,0.0701008,1.16638
500,1,0.0700942,1.17572
500,1,0.0701088,1.17266
500,1,0.070096,1.16919
500,1,0.0700933,1.16687
500,1,0.0700925,1.18029
500,1,0.0700972,1.17181
500,1,0.0700924,1.16662
500,1,0.0700973,1.16479
500,1,0.0700924,1.16717
500,1,0.0700993,1.16558
500,1,0.0700975,1.16693
500,1,0.0700942,1.16485
500,1,0.0701016,1.169
500,1,0.0701055,1.16717
500,1,0.0700987,1.1853
500,1,0.0701215,1.16803
500,1,0.0700932,1.16546
500,1,0.0700884,1.16955
500,1,0.0700944,1.16577
500,1,0.0700967,1.16925
500,1,0.0701128,1.1676
500,1,0.0700931,1.1654
500,1,0.0701033,1.18206
500,1,0.0700951,1.17071
500,1,0.0700983,1.16485
500,1,0.0700964,1.16607
500,1,0.0700991,1.16613
500,1,0.0701208,1.17254
500,1,0.0700985,1.1665
500,1,0.0700935,1.16925
500,1,0.0701247,1.18176
500,1,0.0700946,1.1665
500,1,0.0700966,1.16754
500,1,0.0700992,1.16772
500,1,0.0700964,1.16559
500,1,0.0700931,1.16766
500,1,0.0700963,1.16589
500,1,0.0700974,1.16363
500,1,0.0700916,1.16577
500,1,0.0700843,1.1817
500,1,0.0700935,1.16546
500,1,0.0701009,1.16754
500,1,0.0700932,1.1665
500,1,0.0701027,1.16723
500,1,0.0701202,1.16864
500,1,0.0701188,1.16382
500,1,0.0701016,1.1643
500,1,0.0700929,1.16498
500,1,0.070093,1.18292
500,1,0.0700848,1.16565
500,1,0.0700862,1.16595
500,1,0.0700979,1.1676
500,1,0.0701018,1.16626
500,1,0.070097,1.17175
500,1,0.0700935,1.16363
500,1,0.0701052,1.16699
500,1,0.0701056,1.16729
500,1,0.0700931,1.16797
500,1,0.0700925,1.17877
500,1,0.070117,1.16516
500,1,0.0700976,1.16693
500,1,0.0700939,1.16589
500,1,0.0700963,1.16168
500,1,0.0700893,1.16796
500,1,0.0700894,1.16375
500,1,0.0700878,1.16565
500,1,0.0700853,1.16363
500,1,0.0700922,1.17932
500,1,0.0701027,1.16504
500,1,0.0700994,1.1626
500,1,0.0700956,1.16632
500,1,0.07028,1.25531
500,1,0.0705287,1.30951
500,1,0.0701815,1.17706
500,1,0.0701184,1.17254
500,1,0.0700962,1.16644
500,1,0.0700921,1.16327
500,1,0.070097,1.17187
500,1,0.0700921,1.17987
500,1,0.0700918,1.16571
500,1,0.0700925,1.16272
500,1,0.0700925,1.16211
500,1,0.0701087,1.16339
500,1,0.0700967,1.164
500,1,0.0701114,1.16455
500,1,0.0701031,1.16626
500,1,0.0700904,1.16168
500,1,0.0701047,1.1795
500,1,0.0701181,1.16284
500,1,0.0700853,1.1662
500,1,0.0700987,1.16156
500,1,0.0700925,1.16211
500,1,0.0701011,1.16266
500,1,0.0700951,1.16308
500,1,0.0700982,1.15838
500,1,0.0700951,1.16229
500,1,0.0700926,1.17547
500,1,0.0700861,1.16735
500,1,0.0701007,1.16565
500,1,0.0700997,1.16113
500,1,0.0701226,1.18267
500,1,0.070132,1.22906
500,1,0.0701178,1.20135
500,1,0.0701202,1.20056
500,1,0.0700982,1.20404
500,1,0.0700857,1.17535
500,1,0.0700993,1.16497
500,1,0.070098,1.17077
500,1,0.0700953,1.16235
500,1,0.0700923,1.16174
500,1,0.0700963,1.15771
500,1,0.0701033,1.16308
500,1,0.0700988,1.16028
500,1,0.070094,1.16204
500,1,0.0701024,1.17596
500,1,0.0700917,1.15893
500,1,0.0700935,1.16113
500,1,0.0700907,1.15802
500,1,0.0701233,1.1615
500,1,0.0700861,1.15942
500,1,0.0700942,1.16034
500,1,0.0701027,1.16003
500,1,0.0701024,1.17529
500,1,0.0700915,1.16278
500,1,0.0700857,1.15936
500,1,0.0700874,1.1568
500,1,0.0701125,1.16333
500,1,0.0700891,1.16284
500,1,0.0701051,1.16119
500,1,0.0700994,1.16058
500,1,0.0701052,1.15899
500,1,0.0700984,1.16125
500,1,0.0701124,1.18054
500,1,0.0701019,1.16101
500,1,0.0701013,1.15564
500,1,0.0700976,1.15771
500,1,0.0700926,1.15869
500,1,0.0700921,1.15844
500,1,0.0700933,1.15796
500,1,0.070103,1.15808
500,1,0.0701042,1.17578
500,1,0.0701096,1.16027
500,1,0.0700951,1.15875
500,1,0.0700924,1.1596
500,1,0.070107,1.17328
500,1,0.0700938,1.17315
500,1,0.0700961,1.16937
500,1,0.0701146,1.15924
500,1,0.0700965,1.17736
500,1,0.0701003,1.16119
500,1,0.0700937,1.16137
500,1,0.0700935,1.16186
500,1,0.0701013,1.15747
500,1,0.0700906,1.15338
500,1,0.0700957,1.16375
500,1,0.0701075,1.15881
500,1,0.0703433,1.25592
500,1,0.0705943,1.3269
500,1,0.0701623,1.16296
500,1,0.0701056,1.17914
500,1,0.0701053,1.16204
500,1,0.0701088,1.15954
500,1,0.0700993,1.15966
500,1,0.070096,1.15954
500,1,0.0700978,1.15741
500,1,0.0700855,1.15594
500,1,0.0701176,1.15521
500,1,0.0700985,1.17102
500,1,0.0700884,1.13727
500,1,0.0701203,1.16943
500,1,0.0701011,1.15014
500,1,0.0700989,1.15789
500,1,0.0700947,1.14715
500,1,0.0700904,1.14978
500,1,0.0700935,1.14874
500,1,0.0700932,1.15149
500,1,0.0701159,1.15509
500,1,0.0700966,1.17065
500,1,0.0700868,1.14972
500,1,0.0700964,1.15539
500,1,0.0700852,1.14862
500,1,0.0700949,1.14807
500,1,0.0700894,1.14471
500,1,0.070098,1.1499
500,1,0.0700909,1.16314
500,1,0.0701028,1.15442
500,1,0.070096,1.17511
500,1,0.070104,1.15246
500,1,0.0700917,1.15332
500,1,0.0700981,1.156
500,1,0.0700951,1.15051
500,1,0.0701157,1.15258
