size,threads,runtime,energy
10000,1,0.232659,3.78527
10000,1,0.231825,3.80773
10000,1,0.232384,3.8311
10000,1,0.231823,3.78551
10000,1,0.232377,3.82128
10000,1,0.231847,3.80394
10000,1,0.232378,3.83642
10000,1,0.231821,3.80681
10000,1,0.232366,3.80358
10000,1,0.231817,3.81438
10000,1,0.232349,3.8034
10000,1,0.231832,3.80395
10000,1,0.232425,3.82555
10000,1,0.231807,3.7979
10000,1,0.232381,3.80059
10000,1,0.231868,3.963
10000,1,0.232444,3.80755
10000,1,0.231818,3.80669
10000,1,0.232398,3.80224
10000,1,0.231858,3.8048
10000,1,0.232426,3.84026
10000,1,0.23181,3.80681
10000,1,0.232342,3.80205
10000,1,0.231851,3.80559
10000,1,0.232402,3.80657
10000,1,0.23182,3.80205
10000,1,0.232323,3.80498
10000,1,0.231848,3.80327
10000,1,0.241204,4.47417
10000,1,0.232164,4.64043
10000,1,0.233602,4.46111
10000,1,0.231891,3.81908
10000,1,0.232465,3.82293
10000,1,0.231899,3.81188
10000,1,0.232434,3.80968
10000,1,0.231914,3.80675
10000,1,0.232497,3.82879
10000,1,0.231918,3.79302
10000,1,0.232427,3.8203
10000,1,0.231905,3.80022
10000,1,0.232452,3.80431
10000,1,0.231882,3.81621
10000,1,0.232434,3.81841
10000,1,0.231881,3.80443
10000,1,0.232476,3.80816
10000,1,0.231855,3.81255
10000,1,0.232447,3.80382
10000,1,0.231876,3.807
10000,1,0.232463,3.82079
10000,1,0.231882,3.80907
10000,1,0.232483,3.82299
10000,1,0.231894,3.85381
10000,1,0.232456,3.82573
10000,1,0.231864,4.03862
10000,1,0.232447,4.10497
10000,1,0.231943,4.08019
10000,1,0.232488,4.08959
10000,1,0.231875,4.08538
10000,1,0.232432,4.10814
10000,1,0.231868,4.08611
10000,1,0.232477,3.97081
10000,1,0.23183,3.80675
10000,1,0.232395,3.80425
10000,1,0.231889,3.94536
10000,1,0.232365,3.97655
10000,1,0.231831,3.78179
10000,1,0.23234,3.82457
10000,1,0.231828,3.80321
