size,threads,runtime,energy
500,1,0.4405883,6.920331
500,1,0.4337646,6.849531
500,1,0.43376708,6.849348
500,1,0.43375528,6.855939
500,1,0.4337055,6.832625
500,1,0.4337014,6.844464
500,1,0.4336977,6.845747
500,1,0.43369892,6.830183
500,1,0.4337299,6.847638
500,1,0.43382668,6.868147
500,1,0.43395716,6.923749
500,1,0.43534702,7.063825
500,1,0.43390355,6.847517
500,1,0.43374506,6.84538
500,1,0.43369037,6.84361
500,1,0.43375424,6.842512
500,1,0.43370163,6.827803
500,1,0.43380097,6.876264
500,1,0.4337002,6.840864
500,1,0.43371478,6.825422
500,1,0.43368995,6.870343
500,1,0.43368512,6.83647
500,1,0.4337676,6.880414
500,1,0.43372744,6.861128
500,1,0.4337324,6.837384
500,1,0.43371445,6.828413
500,1,0.4336949,6.836592
500,1,0.43369237,6.8159
500,1,0.43367693,6.829145
500,1,0.43373737,6.832685
500,1,0.43366867,6.810225
500,1,0.43372947,6.833173
500,1,0.43369067,6.855817
500,1,0.43372,6.817793
500,1,0.4336822,6.829023
500,1,0.43368074,6.835615
500,1,0.43372202,6.831403
500,1,0.43366402,6.804304
500,1,0.43373054,6.828962
500,1,0.43368793,6.81938
500,1,0.43372875,6.816938
500,1,0.43368146,6.8029
500,1,0.43369123,6.821149
500,1,0.43370748,6.820906
500,1,0.43374264,7.003217
500,1,0.43374613,6.8336
500,1,0.43367139,6.854536
500,1,0.43370482,6.827314
500,1,0.43371722,6.823286
500,1,0.43370587,6.825117
500,1,0.4337076,6.839826
500,1,0.43369198,6.826276
500,1,0.43371135,6.85301
500,1,0.43367645,6.854475
500,1,0.43367994,6.85185
500,1,0.4336958,6.843
500,1,0.43369082,6.862104
500,1,0.433722,6.843244
500,1,0.4336887,6.961286
500,1,0.43373632,7.299847
500,1,0.4336722,7.313275
500,1,0.45261183,7.810283
500,1,0.43415597,7.27525
500,1,0.43383846,6.840924
500,1,0.4337689,6.808882
500,1,0.43387887,7.430462
500,1,0.4342992,7.675639
500,1,0.43391556,6.925398
500,1,0.43437436,8.753334
500,1,0.43415388,7.035749
500,1,0.43385205,6.826948
500,1,0.43372962,6.799604
500,1,0.43373257,6.843244
500,1,0.43369225,6.807661
500,1,0.43369347,6.814436
500,1,0.4337586,6.798871
500,1,0.43371195,6.801313
500,1,0.433715,6.804793
500,1,0.43374306,6.795942
500,1,0.4337044,6.814679
500,1,0.4337186,6.800947
500,1,0.4336894,6.814863
500,1,0.43376583,6.821211
500,1,0.4336896,6.795637
500,1,0.4336931,6.78404
500,1,0.43370077,6.809736
500,1,0.43370518,6.809187
500,1,0.43367848,6.793989
500,1,0.43371868,6.807172
500,1,0.4336857,6.804426
500,1,0.4336962,6.80467
500,1,0.4336901,6.809614
500,1,0.43371764,6.801496
500,1,0.43368572,6.77635
500,1,0.4336999,6.792402
500,1,0.43370533,6.804609
500,1,0.43370557,6.807417
500,1,0.43370476,6.849531
500,1,0.43373775,6.935163
500,1,0.43369585,6.799909
500,1,0.43367705,6.769575
500,1,0.4336744,6.724592
500,1,0.4337126,6.764143
500,1,0.43368083,6.789961
500,1,0.43370965,6.809369
500,1,0.4336996,6.797407
500,1,0.43370107,6.802961
500,1,0.4336729,6.80052
500,1,0.43368378,6.788557
500,1,0.43372405,6.814069
500,1,0.43368047,6.799299
500,1,0.43370155,6.790327
500,1,0.43368053,6.767622
500,1,0.4336779,6.693464
500,1,0.4337122,6.761763
500,1,0.43368694,6.812421
500,1,0.43370932,6.745894
500,1,0.43367693,6.67613
500,1,0.4337001,6.700361
500,1,0.4336761,6.70909
500,1,0.4336684,6.683637
500,1,0.433766,6.842817
500,1,0.43366966,6.796797
500,1,0.43371883,6.797224
500,1,0.43369216,6.775739
500,1,0.43389198,7.277814
500,1,0.43419376,6.970563
500,1,0.43385488,6.806989
500,1,0.4337629,6.676558
500,1,0.43372762,6.656172
500,1,0.44478804,7.186749
500,1,0.43401262,6.639876
500,1,0.43380666,6.652631
500,1,0.43371865,6.636397
500,1,0.43381178,7.102643
500,1,0.4337888,7.218182
500,1,0.4337044,7.190595
500,1,0.43373567,7.14439
500,1,0.4337093,6.760054
500,1,0.4337077,6.68022
500,1,0.43375844,6.785566
500,1,0.43370745,6.77104
500,1,0.43371677,6.623457
500,1,0.43368527,6.623274
500,1,0.43386695,6.75456
500,1,0.43375736,6.779158
500,1,0.43370438,6.813276
500,1,0.43368572,6.792158
500,1,0.43368927,6.78758
500,1,0.4337107,6.795209
500,1,0.43367356,6.793196
500,1,0.43374556,6.860517
500,1,0.433721,6.876203
500,1,0.43369433,6.710127
500,1,0.43371636,6.782087
500,1,0.43368086,6.732649
500,1,0.4336891,6.611433
500,1,0.4336758,6.605513
500,1,0.43371567,6.699568
500,1,0.43368906,6.57646
500,1,0.43370935,6.56169
500,1,0.4337053,6.610579
500,1,0.43369827,6.643049
500,1,0.4336973,6.769514
500,1,0.43369597,6.76042
500,1,0.433709,6.52696
500,1,0.43367332,6.528853
500,1,0.4336951,6.581404
500,1,0.43369728,6.775618
500,1,0.43370417,6.743574
500,1,0.43369,6.764326
500,1,0.43371764,6.761945
500,1,0.43367913,6.762556
500,1,0.43369153,6.765303
500,1,0.43368784,6.567915
500,1,0.4336963,6.520552
500,1,0.43369535,6.628218
500,1,0.43369615,6.76335
500,1,0.4336918,6.757551
500,1,0.4336937,6.732526
500,1,0.43369648,6.7451
500,1,0.43367913,6.759871
500,1,0.4337108,6.73271
500,1,0.43369022,6.756147
500,1,0.4337059,6.747785
500,1,0.43368733,6.741133
500,1,0.4336917,6.611921
500,1,0.4337018,6.520064
500,1,0.43369907,6.7227
500,1,0.43369892,6.735823
500,1,0.433684,6.739851
500,1,0.43368983,6.723738
500,1,0.4336889,6.749494
500,1,0.433688,6.71092
500,1,0.43371874,6.703719
500,1,0.43370488,6.586714
500,1,0.43370348,6.710798
500,1,0.43369442,6.721235
500,1,0.4336697,6.749617
500,1,0.44431847,6.923017
500,1,0.434204,6.845319
500,1,0.43433058,6.9362
500,1,0.43442148,6.968794
500,1,0.4338774,6.718427
500,1,0.43380412,6.758406
500,1,0.4337247,6.844465
500,1,0.43379655,6.764204
500,1,0.43373057,6.66905
500,1,0.43370447,6.680098
500,1,0.4336886,6.818708
500,1,0.4337454,7.177227
500,1,0.4337338,7.166486
500,1,0.4337099,7.19444
500,1,0.4337791,7.080426
500,1,0.4337285,6.509382
500,1,0.4337107,6.572921
500,1,0.43368754,6.674909
500,1,0.4337189,6.69377
500,1,0.43371975,6.705793
500,1,0.4337,6.69377
500,1,0.43370625,6.560591
500,1,0.433678,6.475081
500,1,0.43373048,6.4691
500,1,0.43371463,6.642011
500,1,0.43371415,6.673445
500,1,0.4337117,6.665205
500,1,0.43367675,6.690413
