size,threads,runtime,energy
10000,1,0.7265,11.6135
10000,1,0.509324,8.41172
10000,1,0.501959,8.32566
10000,1,0.509253,8.40678
10000,1,0.50192,8.27982
10000,1,0.509287,8.41453
10000,1,0.501916,8.2736
10000,1,0.509296,8.31205
10000,1,0.501956,8.53965
10000,1,0.509286,8.26353
10000,1,0.501874,8.06138
10000,1,0.509266,8.17716
10000,1,0.501927,8.04478
10000,1,0.509248,8.42252
10000,1,0.501892,8.04392
10000,1,0.509269,8.17881
10000,1,0.501948,8.03514
10000,1,0.5093,8.14658
10000,1,0.502376,8.26035
10000,1,0.509269,8.22666
10000,1,0.501938,8.05143
10000,1,0.509267,8.15885
10000,1,0.501982,8.06712
10000,1,0.509312,8.15135
10000,1,0.501934,8.03105
10000,1,0.509448,8.42259
10000,1,0.501922,8.03306
10000,1,0.509296,8.14372
10000,1,0.501901,8.03294
10000,1,0.509206,8.88377
10000,1,0.501887,8.25712
10000,1,0.509261,8.14433
10000,1,0.501922,8.02696
10000,1,0.509336,8.15696
10000,1,0.501906,8.03098
10000,1,0.509276,8.14518
10000,1,0.50194,8.0731
10000,1,0.509281,8.14622
10000,1,0.501894,8.03379
10000,1,0.509272,8.15434
10000,1,0.501943,8.0344
10000,1,0.509288,8.1638
10000,1,0.501891,8.0391
10000,1,0.509281,8.47556
10000,1,0.501897,8.03794
10000,1,0.5093,8.8068
10000,1,0.501938,8.73911
10000,1,0.509304,8.85368
10000,1,0.501976,8.09422
10000,1,0.509273,8.15861
10000,1,0.501928,8.03709
10000,1,0.509253,8.15464
10000,1,0.501911,8.13401
10000,1,0.50923,8.17771
10000,1,0.501929,8.0529
10000,1,0.509255,8.16984
10000,1,0.501972,8.10868
10000,1,0.509269,8.17869
10000,1,0.501925,8.07505
10000,1,0.509269,8.18418
10000,1,0.501964,8.08775
10000,1,0.509248,8.19108
10000,1,0.501923,8.07859
10000,1,0.509256,8.17472
10000,1,0.501963,8.06919
10000,1,0.509229,8.19493
10000,1,0.501938,8.11289
10000,1,0.509269,8.20085
10000,1,0.501932,8.09153
10000,1,0.50923,8.19297
10000,1,0.501945,8.09257
10000,1,0.509268,8.17802
10000,1,0.501947,8.07664
10000,1,0.509217,8.17411
10000,1,0.501915,8.04112
10000,1,0.509282,8.17655
10000,1,0.501926,8.36759
10000,1,0.509224,8.16917
10000,1,0.501923,8.07072
10000,1,0.509274,8.16844
10000,1,0.502002,8.05045
10000,1,0.50924,8.16014
10000,1,0.501911,8.04484
10000,1,0.509288,8.13694
10000,1,0.501918,8.03172
10000,1,0.509237,8.15232
10000,1,0.501947,8.05198
10000,1,0.509276,8.13535
10000,1,0.501959,8.02153
10000,1,0.509245,8.12705
10000,1,0.501906,8.03733
10000,1,0.509255,8.13243
10000,1,0.501934,8.02336
10000,1,0.509232,8.14048
10000,1,0.501919,8.01042
10000,1,0.509263,8.1237
10000,1,0.501978,8.05857
10000,1,0.509241,8.12168
10000,1,0.50192,8.02415
10000,1,0.509244,8.13157
10000,1,0.501959,8.01902
10000,1,0.509225,8.12473
10000,1,0.515339,8.51078
10000,1,0.509273,8.12144
10000,1,0.502013,8.02323
10000,1,0.509179,8.39317
10000,1,0.501998,10.1697
10000,1,0.509183,10.3899
10000,1,0.502014,9.10166
10000,1,0.509237,8.73057
10000,1,0.502004,8.86552
10000,1,0.509209,9.83146
10000,1,0.502356,9.74686
10000,1,0.50924,8.1417
10000,1,0.501956,8.007
10000,1,0.50929,8.12943
10000,1,0.501985,8.06852
10000,1,0.509244,8.12431
10000,1,0.501928,8.01603
10000,1,0.509286,8.13279
10000,1,0.502051,9.44834
10000,1,0.509418,10.2781
10000,1,0.501962,8.50169
10000,1,0.509282,8.11918
10000,1,0.501938,8.01133
10000,1,0.509245,8.11167
10000,1,0.50196,8.0532
10000,1,0.509265,8.11399
10000,1,0.501959,7.99839
10000,1,0.509245,8.11387
10000,1,0.50192,8.02513
10000,1,0.509272,8.11711
10000,1,0.501884,8.00559
10000,1,0.509275,8.11357
10000,1,0.501957,8.01542
10000,1,0.509273,8.13066
10000,1,0.501952,8.23039
10000,1,0.509263,8.11668
10000,1,0.501915,8.00541
10000,1,0.509292,8.1143
10000,1,0.501917,8.00657
10000,1,0.509291,8.11704
10000,1,0.501954,8.03721
10000,1,0.509297,8.12577
10000,1,0.501904,8.0037
10000,1,0.50928,8.10648
10000,1,0.501935,8.0305
10000,1,0.509264,8.11491
10000,1,0.501983,8.5734
10000,1,0.509284,8.11064
10000,1,0.501931,8.0001
10000,1,0.509305,8.14097
10000,1,0.501937,7.99436
10000,1,0.50928,8.10502
10000,1,0.501915,7.99442
10000,1,0.509284,8.10746
10000,1,0.501909,8.02879
10000,1,0.509264,8.11125
10000,1,0.50192,8.00157
10000,1,0.509325,8.1121
10000,1,0.501924,7.99442
10000,1,0.524133,8.62028
10000,1,0.501953,7.99027
10000,1,0.509334,8.10862
10000,1,0.501925,7.9918
10000,1,0.509296,8.09208
10000,1,0.501952,8.02073
10000,1,0.509331,8.13359
10000,1,0.501913,8.22172
10000,1,0.509266,8.14994
10000,1,0.501911,7.9849
10000,1,0.509401,8.18931
10000,1,0.501908,7.99943
10000,1,0.50931,8.11161
10000,1,0.501903,8.25938
10000,1,0.509341,8.77885
10000,1,0.501919,8.65574
10000,1,0.509293,8.56565
10000,1,0.501959,7.98802
10000,1,0.509303,8.1038
10000,1,0.501914,7.98716
10000,1,0.509304,8.1359
10000,1,0.50193,8.41923
10000,1,0.509106,9.97416
10000,1,0.502534,10.4921
10000,1,0.50891,10.4399
10000,1,0.502098,10.2804
10000,1,0.509109,10.2437
10000,1,0.502073,9.60874
10000,1,0.508806,10.1747
10000,1,0.502087,9.13853
10000,1,0.509288,8.11082
10000,1,0.501888,8.01084
10000,1,0.509299,8.1118
10000,1,0.502003,7.98698
10000,1,0.509292,8.1074
10000,1,0.501902,8.00968
10000,1,0.509267,8.09501
10000,1,0.50191,7.98008
10000,1,0.509305,8.11851
10000,1,0.501905,7.98057
10000,1,0.509277,8.09782
10000,1,0.501921,7.98014
10000,1,0.509281,8.1013
10000,1,0.501917,7.97746
10000,1,0.509279,8.0922
10000,1,0.501901,7.98026
10000,1,0.509184,8.52952
10000,1,0.502146,9.31907
10000,1,0.509273,8.09605
10000,1,0.502014,7.97404
10000,1,0.509313,8.08598
10000,1,0.502022,7.97685
10000,1,0.509285,8.10252
10000,1,0.50206,8.11418
10000,1,0.509288,8.21824
10000,1,0.501925,7.97428
10000,1,0.509227,8.09117
10000,1,0.501948,8.03868
10000,1,0.509251,8.09953
10000,1,0.501927,7.98173
10000,1,0.515332,8.47935
10000,1,0.501991,7.968
10000,1,0.509266,8.08232
10000,1,0.501947,7.96879
10000,1,0.509254,8.07298
10000,1,0.501921,7.99259
10000,1,0.509249,8.0756
10000,1,0.501949,7.97648
10000,1,0.509257,8.07493
10000,1,0.501957,7.97276
10000,1,0.509257,8.07194
10000,1,0.501939,7.97612
10000,1,0.50925,8.07096
10000,1,0.501935,7.96549
10000,1,0.509246,8.06718
10000,1,0.501918,7.99211
10000,1,0.509243,8.08879
10000,1,0.501966,7.9622
10000,1,0.509256,8.45707
10000,1,0.501941,8.60685
10000,1,0.509247,8.70072
10000,1,0.501948,8.30393
10000,1,0.509241,8.06858
10000,1,0.501928,7.97245
10000,1,0.509268,8.07316
10000,1,0.501955,7.98356
10000,1,0.509258,8.06498
10000,1,0.501938,7.95933
10000,1,0.509251,8.09165
10000,2,0.724693,11.5196
10000,2,0.579658,9.26749
10000,2,0.579537,9.25126
10000,2,0.579782,9.27946
10000,2,0.579404,9.24985
10000,2,0.579648,9.27933
10000,2,0.579481,9.3812
10000,2,0.579622,9.32273
10000,2,0.579487,9.36143
10000,2,0.579652,9.4257
10000,2,0.579527,9.24869
10000,2,0.579642,9.26139
10000,2,0.579438,9.24576
10000,2,0.579691,9.2634
10000,2,0.579536,10.3924
10000,2,0.579694,9.94822
10000,2,0.579425,9.82035
10000,2,0.579772,9.24479
10000,2,0.579477,9.25864
10000,2,0.579694,9.25223
10000,2,0.579477,9.24119
10000,2,0.579629,9.27506
10000,2,0.579485,9.26267
10000,2,0.579669,9.27292
10000,2,0.579506,9.25992
10000,2,0.579694,9.48191
10000,2,0.579482,9.33152
10000,2,0.579701,9.25919
10000,2,0.579438,9.24003
10000,2,0.579706,9.2504
10000,2,0.579494,9.23887
10000,2,0.579684,9.27689
10000,2,0.579439,9.24113
10000,2,0.57964,9.23801
