size,threads,runtime,energy
500,1,0.0698436,1.16168
500,1,0.0698537,1.16137
500,1,0.0698467,1.16064
500,1,0.0698362,1.16235
500,1,0.0698407,1.14563
500,1,0.0698718,1.16284
500,1,0.0698394,1.16418
500,1,0.069839,1.15997
500,1,0.0698376,1.16174
500,1,0.0698362,1.16156
500,1,0.0698414,1.16229
500,1,0.0698373,1.14605
500,1,0.0698456,1.16082
500,1,0.0698349,1.16095
500,1,0.0698414,1.16113
500,1,0.0698362,1.1604
500,1,0.0698357,1.16314
500,1,0.0698347,1.15796
500,1,0.0698431,1.16223
500,1,0.0698457,1.14526
500,1,0.0698691,1.16595
500,1,0.0698354,1.15936
500,1,0.0698461,1.16003
500,1,0.0698361,1.16162
500,1,0.0698787,1.16186
500,1,0.0698319,1.14502
500,1,0.0698459,1.1593
500,1,0.0698325,1.16229
500,1,0.0698433,1.164
500,1,0.0698398,1.16693
500,2,0.0348835,0.711729
500,2,0.0348854,0.728453
500,2,0.0348797,0.731931
500,2,0.0348811,0.734801
500,2,0.0348865,0.729612
500,2,0.0348991,0.73065
500,2,0.0348837,0.734007
500,2,0.034902,0.728148
500,2,0.0348887,0.732725
500,2,0.0348769,0.712583
500,2,0.034885,0.748595
500,2,0.0348806,0.711241
500,2,0.0348801,0.711973
500,2,0.0348758,0.733457
500,2,0.0348796,0.730162
500,2,0.0348846,0.732847
500,2,0.0348789,0.731932
500,2,0.0348782,0.731505
500,2,0.0348826,0.73419
500,2,0.034882,0.73303
500,2,0.0348776,0.729429
500,2,0.0348819,0.718626
500,2,0.0348825,0.730711
500,2,0.0348789,0.731261
500,2,0.0348759,0.729551
500,2,0.0348803,0.736815
500,2,0.0348789,0.730772
500,2,0.0348842,0.730528
500,2,0.0348793,0.729734
500,2,0.03488,0.729612
500,3,0.0599966,1.34686
500,3,0.0639424,1.30194
500,3,0.0559652,1.14105
500,3,0.0639678,1.28357
500,3,0.0639706,1.2807
500,3,0.0639718,1.28167
500,3,0.0559817,1.13055
500,3,0.0639653,1.28161
500,3,0.0639833,1.2818
500,3,0.0639838,1.2763
500,3,0.0639845,1.28564
500,3,0.0639844,1.27685
500,3,0.0501967,1.0205
500,3,0.0481168,0.988401
500,3,0.0616427,1.24347
500,3,0.0639834,1.27429
500,3,0.0639845,1.2774
500,3,0.0639843,1.2799
500,3,0.0639846,1.27167
500,3,0.0639851,1.28082
500,3,0.0639845,1.27856
500,3,0.0639849,1.27874
500,3,0.0639845,1.27966
500,3,0.063985,1.27807
500,3,0.0639845,1.2796
500,3,0.0639905,1.27868
500,3,0.063979,1.27636
500,3,0.0639844,1.28027
500,3,0.054982,1.10913
500,3,0.0471986,0.969969
500,4,0.0639794,1.43121
500,4,0.0639704,1.42779
500,4,0.0453687,1.04351
500,4,0.0327379,0.787596
500,4,0.0465665,1.05792
500,4,0.0479808,1.12268
500,4,0.0632672,1.41925
500,4,0.0639859,1.43451
500,4,0.0519844,1.18823
500,4,0.0639842,1.43316
500,4,0.0639843,1.43365
500,4,0.0639848,1.44067
500,4,0.0447153,1.02337
500,4,0.0479781,1.10431
500,4,0.055996,1.29657
500,4,0.0479723,1.08294
500,4,0.059269,1.35278
500,4,0.0639863,1.43359
500,4,0.0639828,1.43457
500,4,0.0639869,1.43316
500,4,0.063978,1.43725
500,4,0.0479782,1.10449
500,4,0.0639768,1.43292
500,4,0.0447194,1.01959
500,4,0.0640148,1.68597
500,4,0.063973,1.45245
500,4,0.0559717,1.28119
500,4,0.0639727,1.43457
500,4,0.063972,1.43499
500,4,0.0639719,1.44976
500,5,0.0319809,0.774473
500,5,0.0439706,1.0177
500,5,0.0559862,1.2788
500,5,0.0319801,0.775999
500,5,0.0319832,0.772032
500,5,0.0319851,0.766966
500,5,0.0319851,0.774534
500,5,0.0319861,0.768553
500,5,0.0493574,1.16613
500,5,0.0360125,0.863645
500,5,0.0293846,0.734679
500,5,0.029408,0.71295
500,5,0.0317609,0.77429
500,5,0.0319853,0.777891
500,5,0.031986,0.776548
500,5,0.0319839,0.778013
500,5,0.0399857,0.945249
500,5,0.0319847,0.774778
500,5,0.0319844,0.777525
500,5,0.0319849,0.776732
500,5,0.0319852,0.772703
500,5,0.0319852,0.777097
500,5,0.0319913,0.777708
500,5,0.0319852,0.776976
500,5,0.0319868,0.779478
500,5,0.031978,0.776976
500,5,0.0319928,0.777891
500,5,0.0319765,0.779844
500,5,0.0319844,0.778074
500,5,0.0319854,0.777769
500,6,0.0319755,0.872007
500,6,0.0319652,0.869932
500,6,0.0319647,0.867796
500,6,0.0319754,0.8822
500,6,0.031974,0.869626
500,6,0.0319747,0.866331
500,6,0.0319755,0.868711
500,6,0.0319741,0.866209
500,6,0.039977,1.05633
500,6,0.0277194,0.770444
500,6,0.0277974,0.750243
500,6,0.0277913,0.774656
500,6,0.028591,0.799497
500,6,0.0319775,0.872679
500,6,0.0319735,0.869016
500,6,0.0319888,0.874571
500,6,0.0319462,0.876096
500,6,0.0319733,0.869749
500,6,0.031974,0.874021
500,6,0.0319763,0.871214
500,6,0.0560006,1.43744
500,6,0.0359407,0.960447
500,6,0.0319815,0.864194
500,6,0.0319853,0.86566
500,6,0.0319929,0.871885
500,6,0.0319764,0.869565
500,6,0.0319852,0.870481
500,6,0.0320034,0.868406
500,6,0.031967,0.865843
500,6,0.031991,0.872617
500,7,0.0415353,1.07251
500,7,0.0263626,0.74719
500,7,0.0479834,1.23016
500,7,0.0319799,0.863889
500,7,0.0319898,0.862241
500,7,0.0319787,0.862791
500,7,0.0261042,0.71942
500,7,0.0298648,0.813413
500,7,0.0319845,0.861997
500,7,0.0319849,0.860472
500,7,0.031985,0.863279
500,7,0.0319852,0.861875
500,7,0.0319853,0.859922
500,7,0.0416311,1.08209
500,7,0.0399782,1.05652
500,7,0.0256381,0.722044
500,7,0.0268863,0.746153
500,7,0.0297907,0.828794
500,7,0.031984,0.867795
500,7,0.0439844,1.16009
500,7,0.0319852,0.866575
500,7,0.031992,0.867673
500,7,0.0319961,0.866087
500,7,0.0319677,0.86749
500,7,0.0319858,0.866758
500,7,0.0319823,0.869078
500,7,0.0319859,0.8681
500,7,0.0319839,0.864927
500,7,0.0319848,0.874815
500,7,0.0319848,0.861692
500,8,0.0315341,0.869688
500,8,0.0319562,0.867002
500,8,0.0319712,0.863645
500,8,0.0319769,0.866942
500,8,0.0319752,0.860593
500,8,0.0319762,0.871092
500,8,0.0319791,0.862363
500,8,0.0559731,1.43695
500,8,0.0320005,0.860838
500,8,0.0319701,0.867551
500,8,0.0319585,0.863523
500,8,0.0319759,0.86682
500,8,0.0319761,0.864621
500,8,0.0319768,0.863279
500,8,0.0319761,0.864805
500,8,0.0324535,0.863157
500,8,0.0275104,0.776243
500,8,0.0519542,1.33453
500,8,0.0319736,0.85925
500,8,0.0319686,0.836607
500,8,0.0319699,0.852842
500,8,0.0319697,0.853514
500,8,0.0319703,0.855894
500,8,0.0319697,0.860959
500,8,0.0319708,0.856504
500,8,0.0322981,0.876158
500,8,0.0322787,0.873655
500,8,0.0273438,0.772093
500,8,0.0319762,0.862241
500,8,0.031976,0.862547
500,9,0.0439575,1.13861
500,9,0.0639708,1.6087
500,9,0.031969,0.865904
500,9,0.0319682,0.864988
500,9,0.0719531,1.7915
500,9,0.0319852,0.859556
500,9,0.0319685,0.869688
500,9,0.0399772,1.05292
500,9,0.0319686,0.864622
500,9,0.0319707,0.863889
500,9,0.0319727,0.862486
500,9,0.0359682,0.961057
500,9,0.0359694,0.965451
500,9,0.0479544,1.25171
500,9,0.0319848,0.863645
500,9,0.0319709,0.863218
500,9,0.0319703,0.868895
500,9,0.0359703,0.963864
500,9,0.0359705,0.959898
500,9,0.0319757,0.87042
500,9,0.0319664,0.86865
500,9,0.0319764,0.864805
500,9,0.0319764,0.874692
500,9,0.0319763,0.870299
500,9,0.0319781,0.863767
500,9,0.0319744,0.868833
500,9,0.0319767,0.867674
500,9,0.0319759,0.869809
500,9,0.0319799,0.870543
500,9,0.0319725,0.872983
500,10,0.0359682,0.970701
500,10,0.0359482,0.965757
500,10,0.0359619,0.96478
500,10,0.0359639,0.965329
500,10,0.0359653,0.968382
500,10,0.0359709,0.96362
500,10,0.0319584,0.878538
500,10,0.0359638,0.969846
500,10,0.0359651,0.967527
500,10,0.0388674,1.01288
500,10,0.0330642,0.917966
500,10,0.0359628,0.965574
500,10,0.0359651,0.966184
500,10,0.0359646,0.968503
500,10,0.0359655,0.969725
500,10,0.0359666,0.968137
500,10,0.0359635,0.96301
500,10,0.0359652,0.971738
500,10,0.0359657,0.966734
500,10,0.0359655,0.966245
500,10,0.0359647,0.969602
500,10,0.0359635,0.965085
500,10,0.0439652,1.15747
500,10,0.0359647,0.966245
500,10,0.0359655,0.965757
500,10,0.0359648,0.965146
500,10,0.0359642,0.962339
500,10,0.0359652,0.962583
500,10,0.0359649,0.958921
500,10,0.0359649,0.967649
500,11,0.0303068,0.820982
500,11,0.0301726,0.8244
500,11,0.0303138,0.81909
500,11,0.0308122,0.843992
500,11,0.0319751,0.868284
500,11,0.0319772,0.890073
500,11,0.0319769,0.872923
500,11,0.031976,0.874631
500,11,0.0319763,0.87042
500,11,0.0319758,0.874937
500,11,0.0319769,0.864622
500,11,0.0319762,0.871519
500,11,0.0319771,0.869931
500,11,0.0319768,0.867064
500,11,0.0519755,1.34259
500,11,0.0639762,1.63513
500,11,0.0639752,1.63336
500,11,0.0639754,1.63641
500,11,0.0616129,1.56231
500,11,0.054341,1.42291
500,11,0.0639761,1.63232
500,11,0.0639764,1.62603
500,11,0.0599756,1.53601
500,11,0.0319772,0.871885
500,11,0.0319767,0.871275
500,11,0.031976,0.877195
500,11,0.0319776,0.871336
500,11,0.0319751,0.869748
500,11,0.0319779,0.868834
500,11,0.0319772,0.873594
500,12,0.0639817,1.64166
500,12,0.0399502,1.07495
500,12,0.0559741,1.45678
500,12,0.0639736,1.64373
500,12,0.0399768,1.07275
500,12,0.0559757,1.46014
500,12,0.0639977,1.64306
500,12,0.0399545,1.0708
500,12,0.0559768,1.45459
500,12,0.0639738,1.65081
500,12,0.0399787,1.07043
500,12,0.0559771,1.46106
500,12,0.0639757,1.64447
500,12,0.0399762,1.07245
500,12,0.055976,1.45123
500,12,0.0639747,1.65234
500,12,0.0399778,1.07074
500,12,0.0599772,1.55194
500,12,0.0599737,1.5487
500,12,0.0399785,1.08368
500,12,0.059976,1.54492
500,12,0.059977,1.54528
500,12,0.0439766,1.16711
500,12,0.0759756,1.92492
500,12,0.0399767,1.06714
500,12,0.0799762,2.0277
500,12,0.043976,1.17022
500,12,0.0377842,0.995969
500,12,0.0581678,1.5307
500,12,0.0599761,1.55291
500,13,0.0479709,1.26934
500,13,0.0479491,1.2738
500,13,0.0479611,1.26501
500,13,0.0479661,1.26892
500,13,0.0479626,1.26757
500,13,0.047964,1.27514
500,13,0.0479652,1.26818
500,13,0.0479635,1.2716
500,13,0.0479651,1.26458
500,13,0.047966,1.25006
500,13,0.0479646,1.29199
500,13,0.0479649,1.26953
500,13,0.0479653,1.26654
500,13,0.0479653,1.26898
500,13,0.047965,1.27111
500,13,0.0479664,1.29638
500,13,0.0479747,1.35711
500,13,0.0479578,1.36749
500,13,0.0479728,1.41687
500,13,0.0479431,1.27215
500,13,0.0479634,1.2666
500,13,0.0479642,1.27197
500,13,0.0479652,1.26629
500,13,0.0479641,1.2688
500,13,0.0479643,1.26446
500,13,0.0479657,1.27313
500,13,0.0479645,1.27276
500,13,0.0479651,1.26727
500,13,0.0479649,1.26934
500,13,0.0479651,1.26916
500,14,0.0399727,1.09564
500,14,0.0679617,1.7713
500,14,0.0679713,1.7807
500,14,0.0719846,1.8836
500,14,0.0519674,1.38159
500,14,0.0377777,1.04882
500,14,0.0381827,1.08636
500,14,0.0332532,0.92645
500,14,0.0371909,1.04278
500,14,0.0365971,1.0321
500,14,0.0408574,1.14343
500,14,0.0639789,1.67425
500,14,0.0519718,1.38324
500,14,0.0639754,1.66162
500,14,0.0639785,1.66467
500,14,0.0439758,1.18109
500,14,0.0639763,1.66516
500,14,0.0359749,0.986753
500,14,0.0359767,0.991635
500,14,0.0559756,1.47851
500,14,0.0519772,1.37555
500,14,0.0559758,1.4663
500,14,0.0639763,1.66363
500,14,0.0479772,1.28564
500,14,0.0359753,0.994565
500,14,0.0319771,0.898314
500,14,0.0439765,1.18859
500,14,0.0319774,0.903074
500,14,0.0319758,0.89459
500,14,0.0359646,0.996457
500,15,0.063965,1.66607
500,15,0.0639476,1.67334
500,15,0.0719597,1.85882
500,15,0.0640218,1.95758
500,15,0.0679647,1.75616
500,15,0.0839463,2.14184
500,15,0.0639839,1.65899
500,15,0.0639655,1.65747
500,15,0.0359677,0.96771
500,15,0.0359637,0.983213
500,15,0.0759647,1.94927
500,15,0.0326857,0.883786
500,15,0.0352466,0.983213
500,15,0.0519453,1.36248
500,15,0.0639848,1.64947
500,15,0.0679661,1.763
500,15,0.0839447,2.13085
500,15,0.0639861,1.6762
500,15,0.0679654,1.76507
500,15,0.0519443,1.39294
500,15,0.0679869,1.77215
500,15,0.0329302,0.922605
500,15,0.0789848,1.98083
500,15,0.0360019,1.00073
500,15,0.0639636,1.65228
500,15,0.0679657,1.75726
500,15,0.0479446,1.28503
500,15,0.0639851,1.67266
500,15,0.0719654,1.85534
500,15,0.0640202,1.96307
500,16,0.0519847,1.37249
500,16,0.0519439,1.39209
500,16,0.0719716,1.8612
500,16,0.0323024,0.907713
500,16,0.0396625,1.07611
500,16,0.0919362,2.33343
500,16,0.064,1.66265
500,16,0.0719477,1.86138
500,16,0.0600036,1.57574
500,16,0.0759432,1.97485
500,16,0.0839849,2.14746
500,16,0.0839747,2.12994
500,16,0.0839758,2.13848
500,16,0.0719628,1.87243
500,16,0.0919585,2.34295
500,16,0.0639856,1.67651
500,16,0.0639723,1.66333
500,16,0.0559763,1.47894
500,16,0.0839773,2.13598
500,16,0.0559759,1.46368
500,16,0.0519851,1.37677
500,16,0.0599758,1.57305
500,16,0.051965,1.39093
500,16,0.0919692,2.3283
500,16,0.0559826,1.51074
500,16,0.0959741,2.42803
500,16,0.0999852,2.53143
500,16,0.0959663,2.43481
500,16,0.0359801,0.995664
500,16,0.0519714,1.36627
1000,1,0.860732,14.2967
1000,1,0.86073,14.3254
