size,threads,runtime,energy
10000,1,0.192959,3.01946
10000,1,0.192995,3.05511
10000,1,0.192942,3.02435
10000,1,0.192981,3.05578
10000,1,0.19297,3.02343
10000,1,0.192977,3.04839
10000,1,0.192972,3.03399
10000,1,0.192974,3.04723
10000,1,0.192981,3.02959
10000,1,0.192982,3.05437
10000,1,0.192959,3.0169
10000,1,0.192951,3.03368
10000,1,0.192985,3.03588
10000,1,0.192986,3.03558
10000,1,0.192942,3.03374
10000,1,0.192965,3.03771
10000,1,0.192968,3.0382
10000,1,0.192965,3.03295
10000,1,0.192969,3.03222
10000,1,0.192964,3.03527
10000,1,0.192959,3.0396
10000,1,0.192959,3.03496
10000,1,0.192978,3.03435
10000,1,0.192957,3.03997
10000,1,0.19298,3.03588
10000,1,0.192969,3.06316
10000,1,0.192963,3.15691
10000,1,0.192966,3.17333
10000,1,0.192987,3.15679
10000,1,0.192971,3.15899
10000,2,0.0965281,1.93505
10000,2,0.0965337,1.91601
10000,2,0.0965178,1.92773
10000,2,0.0965471,1.91107
10000,2,0.0965266,1.94506
10000,2,0.0965409,1.94464
10000,2,0.0965327,1.87609
10000,2,0.0965275,1.85278
10000,2,0.0965216,1.83734
10000,2,0.096525,1.85253
10000,2,0.0965362,1.83435
10000,2,0.0965224,1.85211
10000,2,0.0965299,1.83428
10000,2,0.0965235,1.85192
10000,2,0.0965359,1.8319
10000,2,0.0965379,1.85406
10000,2,0.0965208,1.85705
10000,2,0.0965363,1.83349
10000,2,0.0965205,1.854
10000,2,0.0965222,1.83654
10000,2,0.0965215,1.85424
10000,2,0.0965211,1.83465
10000,2,0.0965272,1.85302
10000,2,0.0965193,1.83611
10000,2,0.0965255,1.85223
10000,2,0.0965489,1.85436
10000,2,0.0965313,1.83294
10000,2,0.096529,1.85705
10000,2,0.096518,1.83093
10000,2,0.0965206,1.85528
10000,3,0.0644356,1.43652
10000,3,0.0644393,1.45843
10000,3,0.0648047,1.50085
10000,3,0.0651034,1.58813
10000,3,0.0653332,1.53778
10000,3,0.0644567,1.43573
10000,3,0.0644595,1.46539
10000,3,0.0644352,1.43908
10000,3,0.0644377,1.46045
10000,3,0.0644468,1.43811
10000,3,0.0644526,1.46588
10000,3,0.0644304,1.4356
10000,3,0.0644357,1.45886
10000,3,0.0644365,1.43676
10000,3,0.0644289,1.44824
10000,3,0.064438,1.43444
10000,3,0.0644935,1.51135
10000,3,0.0644641,1.46514
10000,3,0.0645033,1.49933
10000,3,0.06453,1.48718
10000,3,0.0644598,1.4895
10000,3,0.0644649,1.46637
10000,3,0.064444,1.48413
10000,3,0.0644382,1.45806
10000,3,0.0644367,1.45709
10000,3,0.0644372,1.43817
10000,3,0.0644294,1.43109
10000,3,0.0644384,1.45898
10000,3,0.0644429,1.43585
10000,3,0.0644496,1.46222
10000,4,0.0483052,1.26544
10000,4,0.0483152,1.23895
10000,4,0.0483049,1.23956
10000,4,0.0483136,1.24328
10000,4,0.0483027,1.28259
10000,4,0.0483133,1.24078
10000,4,0.0483265,1.26153
10000,4,0.0483304,1.2406
10000,4,0.0483018,1.24621
10000,4,0.0483157,1.23376
10000,4,0.0483167,1.23968
10000,4,0.0483074,1.23687
10000,4,0.0483046,1.26098
10000,4,0.048313,1.23944
10000,4,0.0483013,1.23956
10000,4,0.0483034,1.23504
