size,threads,runtime,energy
500,1,0.43328521,7.04527
500,1,0.433347215,6.998944
500,1,0.433305372,6.741316
500,1,0.433296484,6.74333
500,1,0.433262346,6.734053
500,1,0.433267184,6.759076
500,1,0.433331902,6.749129
500,1,0.433348157,6.754255
500,1,0.433320923,6.757856
500,1,0.433269236,6.736189
500,1,0.433303067,6.735334
500,1,0.433240156,6.734297
500,1,0.433248347,6.750776
500,1,0.433267043,6.733748
500,1,0.43323696,6.725996
500,1,0.433273093,6.752912
500,1,0.433241027,6.73393
500,1,0.433254886,6.734541
500,1,0.433301232,6.743696
500,1,0.433264491,6.754317
500,1,0.433260712,6.733137
500,1,0.433279784,6.739179
500,1,0.433282293,6.753279
500,1,0.433238051,6.734907
500,1,0.433281947,6.825971
500,1,0.433294966,6.920148
500,1,0.433888175,7.092451
500,1,0.433428594,6.754987
500,1,0.433266766,6.738386
500,1,0.433311744,6.731611
500,2,0.216814484,4.098745
500,2,0.216839053,4.098622
500,2,0.216794589,4.091847
500,2,0.216799926,4.094411
500,2,0.216823907,4.095693
500,2,0.216849441,4.094411
500,2,0.21681535,4.094044
500,2,0.216788088,4.086172
500,2,0.216784015,4.096913
500,2,0.21683525,4.1079
500,2,0.216838593,4.294483
500,2,0.217149477,4.341603
500,2,0.217174917,5.075548
500,2,0.216988086,5.014697
500,2,0.216861008,5.02257
500,2,0.216879323,5.008837
500,2,0.216966947,5.243822
500,2,0.217102103,4.825183
500,2,0.216962941,4.288502
500,2,0.216825384,4.247731
500,2,0.216841438,4.158132
500,2,0.216873724,4.210987
500,2,0.216886548,4.284962
500,2,0.216807925,4.312795
500,2,0.216852138,4.167164
500,2,0.216946034,4.29601
500,2,0.216833101,4.259449
500,2,0.216843678,4.206471
500,2,0.218070083,4.834278
500,2,0.217999824,5.070848
500,3,0.148323299,3.260185
500,3,0.144914031,3.19683
500,3,0.148248364,3.239493
500,3,0.145817062,3.21392
500,3,0.162162052,3.419181
500,3,0.145182347,3.249198
