size,threads,runtime,energy
10000,1,0.489241,7.88517
10000,1,0.4957,7.84233
10000,1,0.489192,7.78507
10000,1,0.495699,7.81926
10000,1,0.489173,7.73155
10000,1,0.495758,7.8635
10000,1,0.489155,7.90086
10000,1,0.495656,8.19999
10000,1,0.489152,7.7819
10000,1,0.495799,7.89311
10000,1,0.48917,7.79643
10000,1,0.495712,7.92466
10000,1,0.489113,7.83305
10000,1,0.495715,7.84666
10000,1,0.489167,7.73136
10000,1,0.495696,7.84239
10000,1,0.489125,7.9221
10000,1,0.495693,8.47202
10000,1,0.489129,8.35893
10000,1,0.495669,8.45097
10000,1,0.489112,7.79472
10000,1,0.495743,7.84159
10000,1,0.489184,7.82456
10000,1,0.4957,7.83702
10000,1,0.489125,7.7266
10000,1,0.495692,7.83445
10000,1,0.489133,7.73045
10000,1,0.495647,7.83421
10000,1,0.489115,7.72318
10000,1,0.495643,7.85044
10000,2,0.243195,4.90319
10000,2,0.24606,4.96507
10000,2,0.243189,4.92064
10000,2,0.246086,5.00334
10000,2,0.243197,4.91716
10000,2,0.24635,4.96324
10000,2,0.243191,4.90392
10000,2,0.246103,4.98497
10000,2,0.243183,4.90496
10000,2,0.246096,4.96971
10000,2,0.243176,4.89165
10000,2,0.246079,4.96672
10000,2,0.243211,4.89501
10000,2,0.246069,4.97679
10000,2,0.243177,4.92876
10000,2,0.246081,4.95946
10000,2,0.243215,4.89922
10000,2,0.246547,4.97496
10000,2,0.243201,4.89934
10000,2,0.246222,4.96855
10000,2,0.243202,4.89287
10000,2,0.246082,4.96514
10000,2,0.24339,5.18621
10000,2,0.246323,5.33855
10000,2,0.243479,5.2697
10000,2,0.246133,4.96056
10000,2,0.243186,4.90135
10000,2,0.246079,4.96178
10000,2,0.24321,4.89305
10000,2,0.246101,4.95439
10000,3,0.322491,6.30772
10000,3,0.341158,6.66624
10000,3,0.326431,6.40935
10000,3,0.345535,6.73332
10000,3,0.35198,6.85563
10000,3,0.367971,7.27922
10000,3,0.32619,6.56993
10000,3,0.334506,6.57133
10000,3,0.331259,6.48057
10000,3,0.327943,6.43315
10000,3,0.334867,6.55052
10000,3,0.345117,6.7274
10000,3,0.351972,6.85222
10000,3,0.33596,6.55943
10000,3,0.323258,6.61381
10000,3,0.348714,6.81285
10000,3,0.335947,6.56529
10000,3,0.324332,6.35563
10000,3,0.326492,6.41435
10000,3,0.329364,6.45036
10000,3,0.347746,6.76249
10000,3,0.351976,6.86241
10000,3,0.335959,6.57304
10000,3,0.324269,6.35008
10000,3,0.326525,6.41789
10000,3,0.329982,6.46977
10000,3,0.335161,6.54954
10000,3,0.34798,6.78587
10000,3,0.347982,6.78611
10000,3,0.339979,6.65056
10000,4,0.237795,5.50554
10000,4,0.259922,5.92906
10000,4,0.235958,5.43468
10000,4,0.258316,5.93553
10000,4,0.26165,5.98601
10000,4,0.251971,5.79454
10000,4,0.22797,5.26878
10000,4,0.243246,5.59404
10000,4,0.276682,6.6638
10000,4,0.263963,6.44035
10000,4,0.233884,6.06938
10000,4,0.239273,6.61064
10000,4,0.218758,6.25767
10000,4,0.210739,5.43895
10000,4,0.249218,6.08226
10000,4,0.235229,5.8286
10000,4,0.245902,6.86461
10000,4,0.202308,5.42693
10000,4,0.249974,5.94585
10000,4,0.266467,6.52611
10000,4,0.246269,6.38457
10000,4,0.241672,6.43449
10000,4,0.255997,6.9796
10000,4,0.251969,6.94609
10000,4,0.259965,6.21568
10000,4,0.243098,5.75407
10000,4,0.260814,6.0089
10000,4,0.25601,5.8972
10000,4,0.217793,5.11498
10000,4,0.262139,6.04552
10000,5,0.249662,5.75328
10000,5,0.227967,5.29839
10000,5,0.219964,5.22356
10000,5,0.21199,5.98308
10000,5,0.219974,6.03825
10000,5,0.20662,5.78258
10000,5,0.229327,6.34312
10000,5,0.199992,4.94621
10000,5,0.217355,5.54387
10000,5,0.230556,5.82915
10000,5,0.217524,5.53593
10000,5,0.222453,5.82103
10000,5,0.191949,5.24932
10000,5,0.212002,5.63176
10000,5,0.227934,5.89604
10000,5,0.239965,6.14201
10000,5,0.235962,6.06139
10000,5,0.222453,5.35509
10000,5,0.221519,5.18132
10000,5,0.235986,5.4666
10000,5,0.224008,5.24986
10000,5,0.223971,5.23503
10000,5,0.197514,4.68572
10000,5,0.22642,5.25469
10000,5,0.243956,5.63353
10000,5,0.223963,5.25804
10000,5,0.21712,5.21214
10000,5,0.21086,5.06542
10000,5,0.223969,5.24352
10000,5,0.219962,5.13017
10000,6,0.191934,5.09209
10000,6,0.17999,4.80297
10000,6,0.173116,4.63494
10000,6,0.178782,4.81816
10000,6,0.191972,5.08898
10000,6,0.211928,5.55602
10000,6,0.192003,5.09703
10000,6,0.179973,4.81597
10000,6,0.191964,5.08019
10000,6,0.211929,5.55467
10000,6,0.161277,4.3709
10000,6,0.168678,4.5797
10000,6,0.171404,4.63933
10000,6,0.165018,4.47753
10000,6,0.174721,4.687
10000,6,0.186751,4.99846
10000,6,0.177136,4.75334
10000,6,0.17325,4.69017
10000,6,0.201532,5.30223
10000,6,0.167963,4.53167
10000,6,0.191965,5.10259
10000,6,0.19196,5.10491
10000,6,0.191981,5.10216
10000,6,0.177902,4.79607
10000,6,0.186039,4.96031
10000,6,0.179974,4.84429
10000,6,0.191956,5.18883
10000,6,0.187976,5.23491
10000,6,0.191977,5.34624
10000,6,0.215975,6.04643
10000,7,0.163941,4.45488
10000,7,0.158234,4.31481
10000,7,0.189418,5.06468
10000,7,0.166387,4.54229
10000,7,0.157423,4.31823
