size,threads,runtime,energy
10000,1,0.118307,1.09157
10000,1,0.116361,1.17424
10000,1,0.118843,1.15636
10000,1,0.118299,1.13504
10000,1,0.118195,1.27673
10000,1,0.117633,1.1017
10000,1,0.117885,1.05181
10000,1,0.116101,1.07872
10000,1,0.117268,1.06421
10000,1,0.116096,1.06663
10000,1,0.116363,1.01939
10000,1,0.118188,1.08059
10000,1,0.117841,1.03021
10000,1,0.115738,0.97491
10000,1,0.117965,1.06371
10000,1,0.117855,1.21245
10000,1,0.117059,1.57049
10000,1,0.116612,1.31732
10000,1,0.11849,1.13115
10000,1,0.116388,1.11371
10000,1,0.11933,1.17438
10000,1,0.118109,1.11891
10000,1,0.118244,1.03536
10000,1,0.117406,1.47766
10000,1,0.118291,1.34408
10000,1,0.116022,1.42978
10000,1,0.117778,1.28721
10000,1,0.116986,1.21017
10000,1,0.118029,1.00948
10000,1,0.116791,0.951992
10000,2,0.114684,1.16937
10000,2,0.113947,1.16295
10000,2,0.113622,1.79353
10000,2,0.113903,1.59829
10000,2,0.113836,1.64808
10000,2,0.113569,1.36399
10000,2,0.113911,1.22578
10000,2,0.113639,1.48378
10000,2,0.114596,1.30151
10000,2,0.115032,1.14974
10000,2,0.114415,1.09113
10000,2,0.114329,1.24672
10000,2,0.114898,1.20476
10000,2,0.113914,1.26744
10000,2,0.114022,1.3801
10000,2,0.114496,1.11206
10000,2,0.114059,1.0201
10000,2,0.113484,0.987711
10000,2,0.11422,1.28839
10000,2,0.114224,1.38695
10000,2,0.114471,1.24069
10000,2,0.113986,1.42043
10000,2,0.114389,1.27293
10000,2,0.114746,1.32493
10000,2,0.11503,1.32006
10000,2,0.114268,1.17319
10000,2,0.114659,1.20036
10000,2,0.11539,1.29792
10000,2,0.115042,1.18974
10000,2,0.113741,1.06069
10000,3,0.0757185,0.903197
10000,3,0.0759471,0.857851
10000,3,0.0756961,0.851976
10000,3,0.0764409,0.893585
10000,3,0.0757162,0.861893
10000,3,0.0757238,0.842791
10000,3,0.0759454,0.853182
10000,3,0.0759098,0.856187
10000,3,0.0756762,0.908691
10000,3,0.0764594,0.940747
10000,3,0.0760411,1.02468
10000,3,0.0763616,0.989268
10000,3,0.075778,1.00068
10000,3,0.0761317,0.909987
10000,3,0.0757494,0.899489
10000,3,0.0764384,0.953061
10000,3,0.0758157,0.859895
10000,3,0.0758085,0.862046
10000,3,0.0763065,0.89151
10000,3,0.0759692,1.01019
10000,3,0.0757416,1.06327
10000,3,0.0758424,1.23829
10000,3,0.0758825,1.10291
10000,3,0.0763713,1.16925
10000,3,0.0757282,0.981059
10000,3,0.0758715,0.85753
10000,3,0.0756393,0.837512
10000,3,0.0759994,0.860627
10000,3,0.0756989,0.818943
10000,3,0.0757151,0.977504
10000,4,0.0570877,0.90216
10000,4,0.0569558,0.995416
10000,4,0.056984,0.876481
10000,4,0.0574572,0.793477
10000,4,0.0569525,0.845675
10000,4,0.0570933,0.935574
10000,4,0.0571648,1.03672
10000,4,0.0570991,1.08646
10000,4,0.0569748,0.918226
10000,4,0.0569513,0.912352
10000,4,0.0571101,0.935834
10000,4,0.0569627,0.994425
10000,4,0.0569703,0.929594
10000,4,0.0569601,0.933835
10000,4,0.0572095,0.769568
10000,4,0.0571872,0.841204
10000,4,0.0569466,0.822849
10000,4,0.0571617,1.00482
10000,4,0.0570996,0.961071
10000,4,0.0569347,0.957104
10000,4,0.0569182,0.928724
10000,4,0.0570577,0.789632
10000,4,0.0576093,0.774237
10000,4,0.0573563,0.743552
10000,4,0.0573133,0.899749
10000,4,0.056944,0.907562
10000,4,0.0571161,0.77178
10000,4,0.0572108,0.758093
10000,4,0.0569174,0.701991
10000,4,0.0571925,0.726769
10000,5,0.0455838,0.69932
10000,5,0.0455602,0.623366
10000,5,0.0455833,0.681788
10000,5,0.045586,0.650632
10000,5,0.0455957,0.64433
10000,5,0.0456058,0.631376
10000,5,0.045525,0.641614
10000,5,0.045547,0.622664
10000,5,0.0456089,0.654431
10000,5,0.0455834,0.634809
10000,5,0.0455586,0.625303
10000,5,0.0457836,0.764914
10000,5,0.0456093,0.809864
10000,5,0.045655,0.704782
10000,5,0.0455992,0.661343
10000,5,0.0456113,0.732399
10000,5,0.045601,0.765021
10000,5,0.0457857,0.701197
10000,5,0.0456134,0.749702
10000,5,0.0455908,0.712167
10000,5,0.0455822,0.638685
10000,5,0.0455972,0.642239
10000,5,0.0456105,0.637968
10000,5,0.0455982,0.640363
10000,5,0.0455816,0.623686
10000,5,0.0456314,0.752433
10000,5,0.0455745,0.692927
10000,5,0.0455866,0.660228
10000,5,0.0455657,0.720178
10000,5,0.045747,0.640928
10000,6,0.0381448,0.724633
10000,6,0.0393114,0.757758
10000,6,0.0418868,0.74218
10000,6,0.0410182,0.714333
10000,6,0.0397858,0.692805
10000,6,0.0387105,0.66235
10000,6,0.0383508,0.67863
10000,6,0.0381404,0.620695
10000,6,0.0381405,0.626143
10000,6,0.0381486,0.646771
10000,6,0.0380728,0.632414
10000,6,0.0380622,0.621092
10000,6,0.0380873,0.630049
10000,6,0.038172,0.632474
10000,6,0.0382445,0.635343
10000,6,0.0383581,0.655927
10000,6,0.0380757,0.684504
10000,6,0.038172,0.641782
10000,6,0.03834,0.622099
10000,6,0.0380992,0.608565
10000,6,0.0380246,0.586182
10000,6,0.0381515,0.592956
10000,6,0.038065,0.608825
10000,6,0.0380094,0.556505
10000,6,0.038065,0.562364
10000,6,0.0382648,0.603912
10000,6,0.0380822,0.586319
10000,6,0.039502,0.787725
10000,6,0.0445515,0.809605
10000,6,0.0482436,0.843965
10000,7,0.0375168,0.659329
10000,7,0.0362368,0.625563
10000,7,0.0359242,0.627638
10000,7,0.0354475,0.610197
10000,7,0.0354482,0.627882
10000,7,0.0330024,0.570192
10000,7,0.0329391,0.577469
10000,7,0.032662,0.554491
10000,7,0.0333099,0.599441
10000,7,0.032657,0.553759
10000,7,0.0327131,0.568055
10000,7,0.0326744,0.583512
10000,7,0.0343374,0.609527
10000,7,0.0341372,0.591827
10000,7,0.0333833,0.572007
10000,7,0.0326401,0.557985
10000,7,0.0326317,0.563127
10000,7,0.0326629,0.559328
10000,7,0.0327034,0.574158
10000,7,0.0326217,0.574159
10000,7,0.0326594,0.5654
10000,7,0.0326461,0.568239
10000,7,0.0327127,0.572617
10000,7,0.0326458,0.556704
10000,7,0.0326223,0.563768
10000,7,0.0326487,0.543367
10000,7,0.0340723,0.697322
10000,7,0.0336616,0.59613
10000,7,0.0326396,0.566407
10000,7,0.0329018,0.581559
10000,8,0.0321887,0.583634
10000,8,0.0302647,0.515903
10000,8,0.0293808,0.504048
10000,8,0.0301682,0.530719
10000,8,0.0326895,0.582474
10000,8,0.0304295,0.533603
10000,8,0.0295162,0.505437
10000,8,0.0293575,0.508716
10000,8,0.0291694,0.522328
10000,8,0.0288463,0.488835
10000,8,0.0297387,0.52985
10000,8,0.0325969,0.581162
10000,8,0.0303994,0.51987
10000,8,0.0295321,0.52364
10000,8,0.0290959,0.50626
10000,8,0.032721,0.551012
10000,8,0.0313572,0.561144
10000,8,0.030048,0.517978
10000,8,0.0295026,0.505452
10000,8,0.0296465,0.525882
10000,8,0.0319502,0.567094
10000,8,0.0308355,0.541583
10000,8,0.0302753,0.518696
10000,8,0.0291681,0.504109
10000,8,0.0293679,0.526675
10000,8,0.0322584,0.565218
10000,8,0.0302783,0.523914
10000,8,0.0303241,0.521396
10000,8,0.0296391,0.523624
10000,8,0.0310029,0.546038
10000,9,0.0276207,0.490285
10000,9,0.0284895,0.491735
10000,9,0.0281162,0.490545
10000,9,0.0285745,0.506214
10000,9,0.0289432,0.50977
10000,9,0.0280201,0.4867
10000,9,0.0279054,0.490209
10000,9,0.0301987,0.535769
